name,state,district,source
Pundibari,West Bengal,Coochbehar,data.gov.in_daily_prices
Toofanganj,West Bengal,Coochbehar,data.gov.in_daily_prices
Sheoraphuly,West Bengal,Hooghly,data.gov.in_daily_prices
Anoop Shahar,Uttar Pradesh,Bulandshahar,data.gov.in_daily_prices
Sikanderabad,Uttar Pradesh,Bulandshahar,data.gov.in_daily_prices
Sealdah Koley Market,West Bengal,Kolkata,data.gov.in_daily_prices
Deesa(Deesa Veg Yard),Gujarat,Banaskanth,data.gov.in_daily_prices
Bharuch,Gujarat,Bharuch,data.gov.in_daily_prices
Talalagir,Gujarat,Gir Somnath,data.gov.in_daily_prices
Surat,Gujarat,Surat,data.gov.in_daily_prices
Padra,Gujarat,Vadodara(Baroda),data.gov.in_daily_prices
Vadodara(Sayajipura),Gujarat,Vadodara(Baroda),data.gov.in_daily_prices
Borsad,Gujarat,Anand,data.gov.in_daily_prices
Junagadh,Gujarat,Junagarh,data.gov.in_daily_prices
Bardoli,Gujarat,Surat,data.gov.in_daily_prices
Valod(Buhari),Gujarat,Surat,data.gov.in_daily_prices
Bhiwani,Haryana,Bhiwani,data.gov.in_daily_prices
Ch. Dadri,Haryana,Bhiwani,data.gov.in_daily_prices
Tosham,Haryana,Bhiwani,data.gov.in_daily_prices
Barwala(Hisar),Haryana,Hissar,data.gov.in_daily_prices
Barwala,Haryana,Panchkula,data.gov.in_daily_prices
Narwal Jammu (F&V),Jammu and Kashmir,Jammu,data.gov.in_daily_prices
Kathua,Jammu and Kashmir,Kathua,data.gov.in_daily_prices
Ajnala,Punjab,Amritsar,data.gov.in_daily_prices
Barnala,Punjab,Barnala,data.gov.in_daily_prices
Meham,Haryana,Rohtak,data.gov.in_daily_prices
Hamirpur,Himachal Pradesh,Hamirpur,data.gov.in_daily_prices
Hamirpur(Nadaun),Himachal Pradesh,Hamirpur,data.gov.in_daily_prices
Gadhwah,Jharkhand,Garhwa,data.gov.in_daily_prices
Munnar,Kerala,Idukki,data.gov.in_daily_prices
Kollam,Kerala,Kollam,data.gov.in_daily_prices
Kottarakkara,Kerala,Kollam,data.gov.in_daily_prices
Kuruppanthura,Kerala,Kottayam,data.gov.in_daily_prices
Shillong,Meghalaya,East Khasi Hills,data.gov.in_daily_prices
Shahdara,NCT of Delhi,Delhi,data.gov.in_daily_prices
Khamano,Punjab,Fatehgarh,data.gov.in_daily_prices
Talwandi Bhai,Punjab,Ferozpur,data.gov.in_daily_prices
Adampur,Punjab,Jalandhar,data.gov.in_daily_prices
Bilga,Punjab,Jalandhar,data.gov.in_daily_prices
Lohian Khas,Punjab,Jalandhar,data.gov.in_daily_prices
Bariwala,Punjab,Muktsar,data.gov.in_daily_prices
Giddarbaha,Punjab,Muktsar,data.gov.in_daily_prices
Malout,Punjab,Muktsar,data.gov.in_daily_prices
Muktsar,Punjab,Muktsar,data.gov.in_daily_prices
Banga,Punjab,Nawanshahr,data.gov.in_daily_prices
Ajmer(F&V),Rajasthan,Ajmer,data.gov.in_daily_prices
Alwar (F&V),Rajasthan,Alwar,data.gov.in_daily_prices
Bikaner (F&V),Rajasthan,Bikaner,data.gov.in_daily_prices
Jodhpur (F&V),Rajasthan,Jodhpur,data.gov.in_daily_prices
Nabha,Punjab,Patiala,data.gov.in_daily_prices
Morinda,Punjab,Ropar (Rupnagar),data.gov.in_daily_prices
Lehra Gaga,Punjab,Sangrur,data.gov.in_daily_prices
Sriganganagar (F&V),Rajasthan,Ganganagar,data.gov.in_daily_prices
Kiratpur,Uttar Pradesh,Bijnor,data.gov.in_daily_prices
Unnao,Uttar Pradesh,Unnao,data.gov.in_daily_prices
Kotadwara,Uttrakhand,Garhwal (Pauri),data.gov.in_daily_prices
Diamond Harbour,West Bengal,North 24 Parganas,data.gov.in_daily_prices
Baruipur(Canning),West Bengal,Sounth 24 Parganas,data.gov.in_daily_prices
Ahmedabad,Gujarat,Ahmedabad,data.gov.in_daily_prices
Bilimora,Gujarat,Navsari,data.gov.in_daily_prices
Piravam,Kerala,Ernakulam,data.gov.in_daily_prices
Punalur,Kerala,Kollam,data.gov.in_daily_prices
Wadakkanchery,Kerala,Thirssur,data.gov.in_daily_prices
Anyara(EEC),Kerala,Thiruvananthapuram,data.gov.in_daily_prices
Chala,Kerala,Thiruvananthapuram,data.gov.in_daily_prices
Pothencode,Kerala,Thiruvananthapuram,data.gov.in_daily_prices
Thiruvananthapuram,Kerala,Thiruvananthapuram,data.gov.in_daily_prices
Gunpur,Odisha,Rayagada,data.gov.in_daily_prices
Chittorgarh,Rajasthan,Chittorgarh,data.gov.in_daily_prices
Pabiacherra,Tripura,Unokoti,data.gov.in_daily_prices
Baruwasagar,Uttar Pradesh,Jhansi,data.gov.in_daily_prices
Gurdaspur,Punjab,Gurdaspur,data.gov.in_daily_prices
Kalanaur,Punjab,Gurdaspur,data.gov.in_daily_prices
Quadian,Punjab,Gurdaspur,data.gov.in_daily_prices
Jalandhar City,Punjab,Jalandhar,data.gov.in_daily_prices
Phillaur,Punjab,Jalandhar,data.gov.in_daily_prices
Ludhiana,Punjab,Ludhiana,data.gov.in_daily_prices
Budalada,Punjab,Mansa,data.gov.in_daily_prices
Kot ise Khan,Punjab,Moga,data.gov.in_daily_prices
Dera Bassi,Punjab,Mohali,data.gov.in_daily_prices
Kharar,Punjab,Mohali,data.gov.in_daily_prices
Baikunthpur,Madhya Pradesh,Rewa,data.gov.in_daily_prices
Chaakghat,Madhya Pradesh,Rewa,data.gov.in_daily_prices
Hanumana,Madhya Pradesh,Rewa,data.gov.in_daily_prices
Rewa,Madhya Pradesh,Rewa,data.gov.in_daily_prices
Bina,Madhya Pradesh,Sagar,data.gov.in_daily_prices
Garhakota,Madhya Pradesh,Sagar,data.gov.in_daily_prices
Ashta,Madhya Pradesh,Sehore,data.gov.in_daily_prices
Kalapipal,Madhya Pradesh,Shajapur,data.gov.in_daily_prices
Momanbadodiya,Madhya Pradesh,Shajapur,data.gov.in_daily_prices
Sajapur,Madhya Pradesh,Shajapur,data.gov.in_daily_prices
Susner,Madhya Pradesh,Shajapur,data.gov.in_daily_prices
Kolaras,Madhya Pradesh,Shivpuri,data.gov.in_daily_prices
Sidhi,Madhya Pradesh,Sidhi,data.gov.in_daily_prices
Singroli,Madhya Pradesh,Singroli,data.gov.in_daily_prices
Tikamgarh,Madhya Pradesh,Tikamgarh,data.gov.in_daily_prices
Badnagar,Madhya Pradesh,Ujjain,data.gov.in_daily_prices
Umariya,Madhya Pradesh,Umariya,data.gov.in_daily_prices
Shamshabad,Madhya Pradesh,Vidisha,data.gov.in_daily_prices
Kolhapur(Laxmipuri),Maharashtra,Kolhapur,data.gov.in_daily_prices
Mumbai,Maharashtra,Mumbai,data.gov.in_daily_prices
Lamlong Bazaar,Manipur,Imphal East,data.gov.in_daily_prices
Imphal,Manipur,Imphal West,data.gov.in_daily_prices
Pratapgarh,Rajasthan,Chittorgarh,data.gov.in_daily_prices
Bhawani Mandi,Rajasthan,Jhalawar,data.gov.in_daily_prices
Jhalarapatan,Rajasthan,Jhalawar,data.gov.in_daily_prices
Kota,Rajasthan,Kota,data.gov.in_daily_prices
Deoli,Rajasthan,Tonk,data.gov.in_daily_prices
Champaknagar,Tripura,West District,data.gov.in_daily_prices
Sultanpur,Uttar Pradesh,Amethi,data.gov.in_daily_prices
Tulsipur,Uttar Pradesh,Balrampur,data.gov.in_daily_prices
Banda,Uttar Pradesh,Banda,data.gov.in_daily_prices
Najibabad,Uttar Pradesh,Bijnor,data.gov.in_daily_prices
Bindki,Uttar Pradesh,Fatehpur,data.gov.in_daily_prices
Maudaha,Uttar Pradesh,Hamirpur,data.gov.in_daily_prices
Hardoi,Uttar Pradesh,Hardoi,data.gov.in_daily_prices
Madhoganj,Uttar Pradesh,Hardoi,data.gov.in_daily_prices
Sahebganj,Jharkhand,Sahebgang,data.gov.in_daily_prices
Chaibasa,Jharkhand,West Singbhum,data.gov.in_daily_prices
Bangalore,Karnataka,Bangalore,data.gov.in_daily_prices
Sringeri,Karnataka,Chikmagalur,data.gov.in_daily_prices
Hassan,Karnataka,Hassan,data.gov.in_daily_prices
Bangarpet,Karnataka,Kolar,data.gov.in_daily_prices
Mysore (Bandipalya),Karnataka,Mysore,data.gov.in_daily_prices
Bhadravathi,Karnataka,Shimoga,data.gov.in_daily_prices
Shimoga,Karnataka,Shimoga,data.gov.in_daily_prices
Kuttoor,Kerala,Pathanamthitta,data.gov.in_daily_prices
Dholpur,Rajasthan,Dholpur,data.gov.in_daily_prices
Anupgarh,Rajasthan,Ganganagar,data.gov.in_daily_prices
Gajsinghpur,Rajasthan,Ganganagar,data.gov.in_daily_prices
Jaitsar,Rajasthan,Ganganagar,data.gov.in_daily_prices
Kesarisinghpur,Rajasthan,Ganganagar,data.gov.in_daily_prices
Padampur,Rajasthan,Ganganagar,data.gov.in_daily_prices
Raisingh Nagar,Rajasthan,Ganganagar,data.gov.in_daily_prices
Rawla,Rajasthan,Ganganagar,data.gov.in_daily_prices
Sadulshahar,Rajasthan,Ganganagar,data.gov.in_daily_prices
Sri Karanpur,Rajasthan,Ganganagar,data.gov.in_daily_prices
Sri Vijayanagar,Rajasthan,Ganganagar,data.gov.in_daily_prices
Sriganganagar (Grain),Rajasthan,Ganganagar,data.gov.in_daily_prices
Bhadara,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Goluwala,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Hanumangarh,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Nohar,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Pilibanga,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Rawatsar,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Sangriya,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Suratgarh,Rajasthan,Hanumangarh,data.gov.in_daily_prices
Bagru,Rajasthan,Jaipur,data.gov.in_daily_prices
Bassi,Rajasthan,Jaipur,data.gov.in_daily_prices
Chaksu,Rajasthan,Jaipur,data.gov.in_daily_prices
Chomu (Grain),Rajasthan,Jaipur,data.gov.in_daily_prices
Jaipur (Grain),Rajasthan,Jaipur,data.gov.in_daily_prices
Jaipur(Grain)(Chandpole),Rajasthan,Jaipur,data.gov.in_daily_prices
Kishan Renwal(Fulera),Rajasthan,Jaipur,data.gov.in_daily_prices
Pandalam,Kerala,Pathanamthitta,data.gov.in_daily_prices
Parakkodu,Kerala,Pathanamthitta,data.gov.in_daily_prices
Ranniangadi,Kerala,Pathanamthitta,data.gov.in_daily_prices
Chalakudy,Kerala,Thirssur,data.gov.in_daily_prices
Irinjalakkuda,Kerala,Thirssur,data.gov.in_daily_prices
Kodumgalloor,Kerala,Thirssur,data.gov.in_daily_prices
Thrissur,Kerala,Thirssur,data.gov.in_daily_prices
Kattakada,Kerala,Thiruvananthapuram,data.gov.in_daily_prices
Pune,Maharashtra,Pune,data.gov.in_daily_prices
Pune(Khadiki),Maharashtra,Pune,data.gov.in_daily_prices
Dhari,Gujarat,Amreli,data.gov.in_daily_prices
"Anand(Veg,Yard,Anand)",Gujarat,Anand,data.gov.in_daily_prices
Dahod(Veg. Market),Gujarat,Dahod,data.gov.in_daily_prices
Jhalod,Gujarat,Dahod,data.gov.in_daily_prices
Alappuzha,Kerala,Alappuzha,data.gov.in_daily_prices
Chanthroor,Kerala,Alappuzha,data.gov.in_daily_prices
Anchal,Kerala,Kollam,data.gov.in_daily_prices
vadakarapathy,Kerala,Palakad,data.gov.in_daily_prices
Wokha Town,Nagaland,Wokha,data.gov.in_daily_prices
Azadpur,NCT of Delhi,Delhi,data.gov.in_daily_prices
Katpadi(Uzhavar Santhai),Tamil Nadu,Vellore,data.gov.in_daily_prices
Shadabad,Uttar Pradesh,Hathras,data.gov.in_daily_prices
Sikandraraau,Uttar Pradesh,Hathras,data.gov.in_daily_prices
Madhogarh,Uttar Pradesh,Jalaun (Orai),data.gov.in_daily_prices
Chhibramau,Uttar Pradesh,Kannuj,data.gov.in_daily_prices
Uttaripura,Uttar Pradesh,Kanpur,data.gov.in_daily_prices
Jhijhank,Uttar Pradesh,Kanpur Dehat,data.gov.in_daily_prices
Rura,Uttar Pradesh,Kanpur Dehat,data.gov.in_daily_prices
Kasganj,Uttar Pradesh,Kasganj,data.gov.in_daily_prices
Ajuha,Uttar Pradesh,Prayagraj,data.gov.in_daily_prices
Deoband,Uttar Pradesh,Saharanpur,data.gov.in_daily_prices
Bhehjoi,Uttar Pradesh,Sambhal,data.gov.in_daily_prices
Chandausi,Uttar Pradesh,Sambhal,data.gov.in_daily_prices
Sambhal,Uttar Pradesh,Sambhal,data.gov.in_daily_prices
Bangarmau,Uttar Pradesh,Unnao,data.gov.in_daily_prices
Rishikesh,Uttrakhand,Dehradoon,data.gov.in_daily_prices
Roorkee,Uttrakhand,Haridwar,data.gov.in_daily_prices
Bhawanipatna,Odisha,Kalahandi,data.gov.in_daily_prices
Kesinga,Odisha,Kalahandi,data.gov.in_daily_prices
Nawarangpur,Odisha,Nowarangpur,data.gov.in_daily_prices
Gevrai,Maharashtra,Beed,data.gov.in_daily_prices
Kendupatna(Niali),Odisha,Cuttack,data.gov.in_daily_prices
Baripada,Odisha,Mayurbhanja,data.gov.in_daily_prices
Rayagada,Odisha,Rayagada,data.gov.in_daily_prices
Rayagada(Muniguda),Odisha,Rayagada,data.gov.in_daily_prices
Achalda,Uttar Pradesh,Auraiya,data.gov.in_daily_prices
Fatehabad,Haryana,Fatehabad,data.gov.in_daily_prices
Jakhal,Haryana,Fatehabad,data.gov.in_daily_prices
Ratia,Haryana,Fatehabad,data.gov.in_daily_prices
Sohna,Haryana,Gurgaon,data.gov.in_daily_prices
Hansi,Haryana,Hissar,data.gov.in_daily_prices
Uklana,Haryana,Hissar,data.gov.in_daily_prices
Jind,Haryana,Jind,data.gov.in_daily_prices
Jullana,Haryana,Jind,data.gov.in_daily_prices
Narwana,Haryana,Jind,data.gov.in_daily_prices
Pillukhera,Haryana,Jind,data.gov.in_daily_prices
Safidon,Haryana,Jind,data.gov.in_daily_prices
Uchana,Haryana,Jind,data.gov.in_daily_prices
Cheeka,Haryana,Kaithal,data.gov.in_daily_prices
Dhand,Haryana,Kaithal,data.gov.in_daily_prices
Kaithal,Haryana,Kaithal,data.gov.in_daily_prices
Huliyar,Karnataka,Tumkur,data.gov.in_daily_prices
Anjad,Madhya Pradesh,Badwani,data.gov.in_daily_prices
Narela,NCT of Delhi,Delhi,data.gov.in_daily_prices
Jaleswar,Odisha,Balasore,data.gov.in_daily_prices
Kotkapura,Punjab,Faridkot,data.gov.in_daily_prices
Atarra,Uttar Pradesh,Banda,data.gov.in_daily_prices
Jhansi,Uttar Pradesh,Jhansi,data.gov.in_daily_prices
Lucknow,Uttar Pradesh,Lucknow,data.gov.in_daily_prices
Gopalpatti,Tamil Nadu,Dindigul,data.gov.in_daily_prices
Natham,Tamil Nadu,Dindigul,data.gov.in_daily_prices
Denkanikottai,Tamil Nadu,Krishnagiri,data.gov.in_daily_prices
Krishnagiri,Tamil Nadu,Krishnagiri,data.gov.in_daily_prices
Bowenpally,Telangana,Hyderabad,data.gov.in_daily_prices
Hyderabad (F&V),Telangana,Hyderabad,data.gov.in_daily_prices
Chevella,Telangana,Ranga Reddy,data.gov.in_daily_prices
Cachar,Assam,Cachar,data.gov.in_daily_prices
P.O. Uparhali Guwahati,Assam,Kamrup,data.gov.in_daily_prices
Tinsukia,Assam,Tinsukia,data.gov.in_daily_prices
Dhanbad,Jharkhand,Dhanbad,data.gov.in_daily_prices
Aralamoodu,Kerala,Thiruvananthapuram,data.gov.in_daily_prices
Khair,Uttar Pradesh,Aligarh,data.gov.in_daily_prices
Denduluru,Andhra Pradesh,West Godavari,data.gov.in_daily_prices
Bohorihat,Assam,Barpeta,data.gov.in_daily_prices
Howly,Assam,Barpeta,data.gov.in_daily_prices
Gauripur,Assam,Dhubri,data.gov.in_daily_prices
Dibrugarh,Assam,Dibrugarh,data.gov.in_daily_prices
Goalpara,Assam,Goalpara,data.gov.in_daily_prices
Golaghat,Assam,Golaghat,data.gov.in_daily_prices
Jorhat,Assam,Jorhat,data.gov.in_daily_prices
Nalbari,Assam,Nalbari,data.gov.in_daily_prices
Giridih,Jharkhand,Giridih,data.gov.in_daily_prices
Koderma,Jharkhand,Koderma,data.gov.in_daily_prices
Latehar,Jharkhand,Latehar,data.gov.in_daily_prices
Khunti,Jharkhand,Ranchi,data.gov.in_daily_prices
Cherthala,Kerala,Alappuzha,data.gov.in_daily_prices
Harippad,Kerala,Alappuzha,data.gov.in_daily_prices
Moovattupuzha,Kerala,Ernakulam,data.gov.in_daily_prices
Kannur,Kerala,Kannur,data.gov.in_daily_prices
Thalasserry,Kerala,Kannur,data.gov.in_daily_prices
Kanjangadu,Kerala,Kasargod,data.gov.in_daily_prices
Kasargod,Kerala,Kasargod,data.gov.in_daily_prices
