name,state,district,source,latitude,longitude
Pundibari,West Bengal,Coochbehar,derived_data_gov,,
Toofanganj,West Bengal,Coochbehar,derived_data_gov,,
Sheoraphuly,West Bengal,Hooghly,derived_data_gov,,
Anoop Shahar,Uttar Pradesh,Bulandshahar,derived_data_gov,,
Sikanderabad,Uttar Pradesh,Bulandshahar,derived_data_gov,,
Sealdah Koley Market,West Bengal,Kolkata,derived_data_gov,22.56263,88.36304
Deesa(Deesa Veg Yard),Gujarat,Banaskanth,derived_data_gov,,
Bharuch,Gujarat,Bharuch,derived_data_gov,21.69482,72.9805
Talalagir,Gujarat,Gir Somnath,derived_data_gov,,
Surat,Gujarat,Surat,derived_data_gov,21.19594,72.83023
Padra,Gujarat,Vadodara(Baroda),derived_data_gov,,
Vadodara(Sayajipura),Gujarat,Vadodara(Baroda),derived_data_gov,,
Borsad,Gujarat,Anand,derived_data_gov,22.55251,72.9552
Junagadh,Gujarat,Junagarh,derived_data_gov,19.85993,82.93385
Bardoli,Gujarat,Surat,derived_data_gov,21.19594,72.83023
Valod(Buhari),Gujarat,Surat,derived_data_gov,21.19594,72.83023
Bhiwani,Haryana,Bhiwani,derived_data_gov,28.79304,76.13968
Ch. Dadri,Haryana,Bhiwani,derived_data_gov,28.79304,76.13968
Tosham,Haryana,Bhiwani,derived_data_gov,28.79304,76.13968
Barwala(Hisar),Haryana,Hissar,derived_data_gov,36.0633,48.581
Barwala,Haryana,Panchkula,derived_data_gov,30.69461,76.8504
Narwal Jammu (F&V),Jammu and Kashmir,Jammu,derived_data_gov,32.73528,74.86167
Kathua,Jammu and Kashmir,Kathua,derived_data_gov,32.36941,75.52539
Ajnala,Punjab,Amritsar,derived_data_gov,31.62234,74.87534
Barnala,Punjab,Barnala,derived_data_gov,30.37451,75.5487
Meham,Haryana,Rohtak,derived_data_gov,28.89447,76.58917
Hamirpur,Himachal Pradesh,Hamirpur,derived_data_gov,25.9553,80.14842
Hamirpur(Nadaun),Himachal Pradesh,Hamirpur,derived_data_gov,25.9553,80.14842
Gadhwah,Jharkhand,Garhwa,derived_data_gov,24.16002,83.80755
Munnar,Kerala,Idukki,derived_data_gov,9.85,76.96667
Kollam,Kerala,Kollam,derived_data_gov,8.88113,76.58469
Kottarakkara,Kerala,Kollam,derived_data_gov,8.88113,76.58469
Kuruppanthura,Kerala,Kottayam,derived_data_gov,9.58692,76.52132
Shillong,Meghalaya,East Khasi Hills,derived_data_gov,,
Shahdara,NCT of Delhi,Delhi,derived_data_gov,28.65195,77.23149
Khamano,Punjab,Fatehgarh,derived_data_gov,27.36409,79.63111
Talwandi Bhai,Punjab,Ferozpur,derived_data_gov,30.93198,72.83818
Adampur,Punjab,Jalandhar,derived_data_gov,31.32556,75.57917
Bilga,Punjab,Jalandhar,derived_data_gov,31.32556,75.57917
Lohian Khas,Punjab,Jalandhar,derived_data_gov,31.32556,75.57917
Bariwala,Punjab,Muktsar,derived_data_gov,30.47426,74.5166
Giddarbaha,Punjab,Muktsar,derived_data_gov,30.47426,74.5166
Malout,Punjab,Muktsar,derived_data_gov,30.47426,74.5166
Muktsar,Punjab,Muktsar,derived_data_gov,30.47426,74.5166
Banga,Punjab,Nawanshahr,derived_data_gov,31.1245,76.11613
Ajmer(F&V),Rajasthan,Ajmer,derived_data_gov,26.4521,74.63867
Alwar (F&V),Rajasthan,Alwar,derived_data_gov,27.56246,76.625
Bikaner (F&V),Rajasthan,Bikaner,derived_data_gov,28.01762,73.31495
Jodhpur (F&V),Rajasthan,Jodhpur,derived_data_gov,26.26841,73.00594
Nabha,Punjab,Patiala,derived_data_gov,30.33625,76.3922
Morinda,Punjab,Ropar (Rupnagar),derived_data_gov,,
Lehra Gaga,Punjab,Sangrur,derived_data_gov,30.24506,75.84488
Sriganganagar (F&V),Rajasthan,Ganganagar,derived_data_gov,29.92009,73.87496
Kiratpur,Uttar Pradesh,Bijnor,derived_data_gov,29.373,78.13636
Unnao,Uttar Pradesh,Unnao,derived_data_gov,26.54706,80.48781
Kotadwara,Uttrakhand,Garhwal (Pauri),derived_data_gov,,
Diamond Harbour,West Bengal,North 24 Parganas,derived_data_gov,,
Baruipur(Canning),West Bengal,Sounth 24 Parganas,derived_data_gov,,
Ahmedabad,Gujarat,Ahmedabad,derived_data_gov,23.02579,72.58727
Bilimora,Gujarat,Navsari,derived_data_gov,20.94237,72.92467
Piravam,Kerala,Ernakulam,derived_data_gov,9.93988,76.26022
Punalur,Kerala,Kollam,derived_data_gov,8.88113,76.58469
Wadakkanchery,Kerala,Thirssur,derived_data_gov,,
Anyara(EEC),Kerala,Thiruvananthapuram,derived_data_gov,8.4855,76.94924
Chala,Kerala,Thiruvananthapuram,derived_data_gov,8.4855,76.94924
Pothencode,Kerala,Thiruvananthapuram,derived_data_gov,8.4855,76.94924
Thiruvananthapuram,Kerala,Thiruvananthapuram,derived_data_gov,8.4855,76.94924
Gunpur,Odisha,Rayagada,derived_data_gov,19.17132,83.41428
Chittorgarh,Rajasthan,Chittorgarh,derived_data_gov,24.88963,74.62403
Pabiacherra,Tripura,Unokoti,derived_data_gov,,
Baruwasagar,Uttar Pradesh,Jhansi,derived_data_gov,25.45887,78.57994
Gurdaspur,Punjab,Gurdaspur,derived_data_gov,32.03933,75.40318
Kalanaur,Punjab,Gurdaspur,derived_data_gov,32.03933,75.40318
Quadian,Punjab,Gurdaspur,derived_data_gov,32.03933,75.40318
Jalandhar City,Punjab,Jalandhar,derived_data_gov,31.32556,75.57917
Phillaur,Punjab,Jalandhar,derived_data_gov,31.32556,75.57917
Ludhiana,Punjab,Ludhiana,derived_data_gov,30.91204,75.85379
Rayagada(Muniguda),Odisha,Rayagada,derived_data_gov,19.17132,83.41428
Achalda,Uttar Pradesh,Auraiya,derived_data_gov,26.46517,79.50918
Fatehabad,Haryana,Fatehabad,derived_data_gov,29.51525,75.45554
Jakhal,Haryana,Fatehabad,derived_data_gov,29.51525,75.45554
Ratia,Haryana,Fatehabad,derived_data_gov,29.51525,75.45554
Sohna,Haryana,Gurgaon,derived_data_gov,28.4601,77.02635
Hansi,Haryana,Hissar,derived_data_gov,36.0633,48.581
Uklana,Haryana,Hissar,derived_data_gov,36.0633,48.581
Jind,Haryana,Jind,derived_data_gov,29.31577,76.31502
Jullana,Haryana,Jind,derived_data_gov,29.31577,76.31502
Narwana,Haryana,Jind,derived_data_gov,29.31577,76.31502
Pillukhera,Haryana,Jind,derived_data_gov,29.31577,76.31502
Safidon,Haryana,Jind,derived_data_gov,29.31577,76.31502
Uchana,Haryana,Jind,derived_data_gov,29.31577,76.31502
Cheeka,Haryana,Kaithal,derived_data_gov,29.80153,76.39959
Dhand,Haryana,Kaithal,derived_data_gov,29.80153,76.39959
Kaithal,Haryana,Kaithal,derived_data_gov,29.80153,76.39959
Shimoga,Karnataka,Shimoga,derived_data_gov,13.93157,75.56791
Huliyar,Karnataka,Tumkur,derived_data_gov,13.34136,77.1022
Anjad,Madhya Pradesh,Badwani,derived_data_gov,32.84671,74.59616
Kolhapur(Laxmipuri),Maharashtra,Kolhapur,derived_data_gov,16.69563,74.23167
Mumbai,Maharashtra,Mumbai,derived_data_gov,19.07283,72.88261
Lamlong Bazaar,Manipur,Imphal East,derived_data_gov,,
Imphal,Manipur,Imphal West,derived_data_gov,,
Narela,NCT of Delhi,Delhi,derived_data_gov,28.65195,77.23149
Jaleswar,Odisha,Balasore,derived_data_gov,21.49266,86.93348
Kotkapura,Punjab,Faridkot,derived_data_gov,30.67399,74.75579
Chaksu,Rajasthan,Jaipur,derived_data_gov,26.91962,75.78781
Atarra,Uttar Pradesh,Banda,derived_data_gov,25.47758,80.33491
Banda,Uttar Pradesh,Banda,derived_data_gov,25.47758,80.33491
Jhansi,Uttar Pradesh,Jhansi,derived_data_gov,25.45887,78.57994
Uttaripura,Uttar Pradesh,Kanpur,derived_data_gov,26.46523,80.34975
Lucknow,Uttar Pradesh,Lucknow,derived_data_gov,26.83928,80.92313
Deoband,Uttar Pradesh,Saharanpur,derived_data_gov,29.9679,77.54522
Rishikesh,Uttrakhand,Dehradoon,derived_data_gov,,
Alappuzha,Kerala,Alappuzha,derived_data_gov,9.49004,76.3264
Gopalpatti,Tamil Nadu,Dindigul,derived_data_gov,10.36896,77.98036
Natham,Tamil Nadu,Dindigul,derived_data_gov,10.36896,77.98036
Denkanikottai,Tamil Nadu,Krishnagiri,derived_data_gov,12.51921,78.21382
Krishnagiri,Tamil Nadu,Krishnagiri,derived_data_gov,12.51921,78.21382
Katpadi(Uzhavar Santhai),Tamil Nadu,Vellore,derived_data_gov,12.9184,79.13255
Bowenpally,Telangana,Hyderabad,derived_data_gov,17.38405,78.45636
Hyderabad (F&V),Telangana,Hyderabad,derived_data_gov,17.38405,78.45636
Chevella,Telangana,Ranga Reddy,derived_data_gov,,
Cachar,Assam,Cachar,derived_data_gov,-9.13333,13.83333
P.O. Uparhali Guwahati,Assam,Kamrup,derived_data_gov,,
Tinsukia,Assam,Tinsukia,derived_data_gov,27.48905,95.35992
Dhanbad,Jharkhand,Dhanbad,derived_data_gov,23.79759,86.42992
Aralamoodu,Kerala,Thiruvananthapuram,derived_data_gov,8.4855,76.94924
Baripada,Odisha,Mayurbhanja,derived_data_gov,,
Khair,Uttar Pradesh,Aligarh,derived_data_gov,27.88145,78.07464
Denduluru,Andhra Pradesh,West Godavari,derived_data_gov,,
Bohorihat,Assam,Barpeta,derived_data_gov,26.32293,91.00632
Howly,Assam,Barpeta,derived_data_gov,26.32293,91.00632
Gauripur,Assam,Dhubri,derived_data_gov,26.01856,89.98564
Dibrugarh,Assam,Dibrugarh,derived_data_gov,27.47989,94.90837
Goalpara,Assam,Goalpara,derived_data_gov,26.17668,90.62634
Golaghat,Assam,Golaghat,derived_data_gov,26.51167,93.95951
Jorhat,Assam,Jorhat,derived_data_gov,26.75751,94.20306
Madhogarh,Uttar Pradesh,Jalaun (Orai),derived_data_gov,,
Moth,Uttar Pradesh,Jhansi,derived_data_gov,25.45887,78.57994
Lalitpur,Uttar Pradesh,Lalitpur,derived_data_gov,24.69007,78.41915
Gadaura,Uttar Pradesh,Maharajganj,derived_data_gov,26.25914,83.11643
Charkhari,Uttar Pradesh,Mahoba,derived_data_gov,25.2905,79.87533
Ghiraur,Uttar Pradesh,Mainpuri,derived_data_gov,27.22857,79.02882
Vishalpur,Uttar Pradesh,Pillibhit,derived_data_gov,,
Allahabad,Uttar Pradesh,Prayagraj,derived_data_gov,25.44478,81.84322
Vilaspur,Uttar Pradesh,Rampur,derived_data_gov,28.81014,79.02699
Gangoh,Uttar Pradesh,Saharanpur,derived_data_gov,29.9679,77.54522
Bhehjoi,Uttar Pradesh,Sambhal,derived_data_gov,28.58498,78.56959
Sambhal,Uttar Pradesh,Sambhal,derived_data_gov,28.58498,78.56959
Jalalabad,Uttar Pradesh,Shahjahanpur,derived_data_gov,27.88165,79.90918
Payagpur,Uttar Pradesh,Shravasti,derived_data_gov,27.50198,82.02675
Bangarmau,Uttar Pradesh,Unnao,derived_data_gov,26.54706,80.48781
Purwa,Uttar Pradesh,Unnao,derived_data_gov,26.54706,80.48781
Varanasi,Uttar Pradesh,Varanasi,derived_data_gov,25.31668,83.01041
Varanasi(F&V),Uttar Pradesh,Varanasi,derived_data_gov,25.31668,83.01041
Roorkee,Uttrakhand,Haridwar,derived_data_gov,29.94791,78.16025
Haldwani,Uttrakhand,Nanital,derived_data_gov,,
Sitarganj,Uttrakhand,UdhamSinghNagar,derived_data_gov,,
Bara Bazar (Posta Bazar),West Bengal,Kolkata,derived_data_gov,22.56263,88.36304
Samsi,West Bengal,Malda,derived_data_gov,25.00447,88.14573
Midnapore Sadar,West Bengal,Medinipur(W),derived_data_gov,,
Faizabad,Uttar Pradesh,Ayodhya,derived_data_gov,26.79909,82.2047
Bilsi,Uttar Pradesh,Badaun,derived_data_gov,33.75803,70.80705
Anwala,Uttar Pradesh,Bareilly,derived_data_gov,28.36678,79.43167
Bahedi,Uttar Pradesh,Bareilly,derived_data_gov,28.36678,79.43167
Bareilly,Uttar Pradesh,Bareilly,derived_data_gov,28.36678,79.43167
Basti,Uttar Pradesh,Basti,derived_data_gov,26.78817,82.71617
Nagina,Uttar Pradesh,Bijnor,derived_data_gov,29.373,78.13636
Najibabad,Uttar Pradesh,Bijnor,derived_data_gov,29.373,78.13636
Sikarpur,Uttar Pradesh,Bulandshahar,derived_data_gov,,
Aliganj,Uttar Pradesh,Etah,derived_data_gov,27.55879,78.65692
Gorakhpur,Uttar Pradesh,Gorakhpur,derived_data_gov,29.44768,75.67206
Sandila,Uttar Pradesh,Hardoi,derived_data_gov,27.39491,80.13165
Chintamani,Karnataka,Kolar,derived_data_gov,13.13768,78.12999
Pandavapura,Karnataka,Mandya,derived_data_gov,12.5223,76.89746
Mysore (Bandipalya),Karnataka,Mysore,derived_data_gov,12.29791,76.63925
Sira,Karnataka,Tumkur,derived_data_gov,13.34136,77.1022
Tumkur,Karnataka,Tumkur,derived_data_gov,13.34136,77.1022
Kondotty,Kerala,Malappuram,derived_data_gov,11.04199,76.08154
Kurawar,Madhya Pradesh,Rajgarh,derived_data_gov,28.64201,75.38612
Ahmednagar,Maharashtra,Ahmednagar,derived_data_gov,19.09457,74.73843
Kada,Maharashtra,Beed,derived_data_gov,18.98921,75.75634
Kaij,Maharashtra,Beed,derived_data_gov,18.98921,75.75634
Chattrapati Sambhajinagar,Maharashtra,Chattrapati Sambhajinagar,derived_data_gov,,
Kalamb (Dharashiv),Maharashtra,Dharashiv(Usmanabad),derived_data_gov,,
Gondiya,Maharashtra,Gondiya,derived_data_gov,,
Ausa,Maharashtra,Latur,derived_data_gov,18.39721,76.56784
Latur,Maharashtra,Latur,derived_data_gov,18.39721,76.56784
Udgir,Maharashtra,Latur,derived_data_gov,18.39721,76.56784
Nagpur(Mahatma Phule Market),Maharashtra,Nagpur,derived_data_gov,21.14631,79.08491
Devala,Maharashtra,Nashik,derived_data_gov,19.99727,73.79096
Kalvan,Maharashtra,Nashik,derived_data_gov,19.99727,73.79096
Shirur,Maharashtra,Pune,derived_data_gov,18.51957,73.85535
Barshi,Maharashtra,Sholapur,derived_data_gov,17.67152,75.91044
Parlakhemundi,Odisha,Gajapati,derived_data_gov,18.27936,83.33647
Nawarangpur,Odisha,Nowarangpur,derived_data_gov,,
Nalbari,Assam,Nalbari,derived_data_gov,26.43937,91.44041
Giridih,Jharkhand,Giridih,derived_data_gov,24.18622,86.30875
Koderma,Jharkhand,Koderma,derived_data_gov,41.76667,19.61611
Latehar,Jharkhand,Latehar,derived_data_gov,23.74423,84.49984
Khunti,Jharkhand,Ranchi,derived_data_gov,23.34316,85.3094
Sahebganj,Jharkhand,Sahebgang,derived_data_gov,,
Cherthala,Kerala,Alappuzha,derived_data_gov,9.49004,76.3264
Harippad,Kerala,Alappuzha,derived_data_gov,9.49004,76.3264
Moovattupuzha,Kerala,Ernakulam,derived_data_gov,9.93988,76.26022
Kannur,Kerala,Kannur,derived_data_gov,11.86752,75.35763
Thalasserry,Kerala,Kannur,derived_data_gov,11.86752,75.35763
Kanjangadu,Kerala,Kasargod,derived_data_gov,,
Kasargod,Kerala,Kasargod,derived_data_gov,,
Neeleswaram,Kerala,Kasargod,derived_data_gov,,
Ettumanoor,Kerala,Kottayam,derived_data_gov,9.58692,76.52132
Kottayam,Kerala,Kottayam,derived_data_gov,9.58692,76.52132
Kottakkal,Kerala,Malappuram,derived_data_gov,11.04199,76.08154
Manjeri,Kerala,Malappuram,derived_data_gov,11.04199,76.08154
Ezhamkulam,Kerala,Pathanamthitta,derived_data_gov,9.26667,76.78333
Kuttoor,Kerala,Pathanamthitta,derived_data_gov,9.26667,76.78333
Pandalam,Kerala,Pathanamthitta,derived_data_gov,9.26667,76.78333
Parakkodu,Kerala,Pathanamthitta,derived_data_gov,9.26667,76.78333
Ranniangadi,Kerala,Pathanamthitta,derived_data_gov,9.26667,76.78333
Allagadda,Andhra Pradesh,Kurnool,derived_data_gov,15.82887,78.03602
Anantapur,Andhra Pradesh,Anantapur,derived_data_gov,14.67784,77.60813
Dharmavaram,Andhra Pradesh,Anantapur,derived_data_gov,14.67784,77.60813
Gooti,Andhra Pradesh,Anantapur,derived_data_gov,14.67784,77.60813
Guntakal,Andhra Pradesh,Anantapur,derived_data_gov,14.67784,77.60813
Kadiri,Andhra Pradesh,Anantapur,derived_data_gov,14.67784,77.60813
Kalyandurg,Andhra Pradesh,Anantapur,derived_data_gov,14.67784,77.60813
Penukonda,Andhra Pradesh,Anantapur,derived_data_gov,14.67784,77.60813
Tadipatri,Andhra Pradesh,Anantapur,derived_data_gov,14.67784,77.60813
Tenakallu,Andhra Pradesh,Anantapur,derived_data_gov,14.67784,77.60813
Urvakonda,Andhra Pradesh,Anantapur,derived_data_gov,14.67784,77.60813
Srikalahasti,Andhra Pradesh,Chittor,derived_data_gov,24.88963,74.62403
Rayachoti,Andhra Pradesh,Cuddapah,derived_data_gov,14.47995,78.82346
Nagari,Chattisgarh,Dhamtari,derived_data_gov,20.70718,81.54874
Manendragarh,Chattisgarh,Koria,derived_data_gov,60.84614,26.60755
Amreli,Gujarat,Amreli,derived_data_gov,21.59983,71.21169
Rajula,Gujarat,Amreli,derived_data_gov,21.59983,71.21169
Savarkundla,Gujarat,Amreli,derived_data_gov,21.59983,71.21169
Jamnagar,Gujarat,Jamnagar,derived_data_gov,22.47292,70.06673
Mangrol,Gujarat,Junagarh,derived_data_gov,19.85993,82.93385
Visavadar,Gujarat,Junagarh,derived_data_gov,19.85993,82.93385
Dhoraji,Gujarat,Rajkot,derived_data_gov,22.29161,70.79322
Gondal,Gujarat,Rajkot,derived_data_gov,22.29161,70.79322
Hindupur,Andhra Pradesh,Anantapur,derived_data_gov,14.67784,77.60813
Phaltan,Maharashtra,Satara,derived_data_gov,17.68589,73.99333
Vaduj,Maharashtra,Satara,derived_data_gov,17.68589,73.99333
Akluj,Maharashtra,Sholapur,derived_data_gov,17.67152,75.91044
Karmala,Maharashtra,Sholapur,derived_data_gov,17.67152,75.91044
Kurdwadi,Maharashtra,Sholapur,derived_data_gov,17.67152,75.91044
Kurdwadi(Modnimb),Maharashtra,Sholapur,derived_data_gov,17.67152,75.91044
Mangal Wedha,Maharashtra,Sholapur,derived_data_gov,17.67152,75.91044
Pandharpur,Maharashtra,Sholapur,derived_data_gov,17.67152,75.91044
Sangola,Maharashtra,Sholapur,derived_data_gov,17.67152,75.91044
Solapur,Maharashtra,Sholapur,derived_data_gov,17.67152,75.91044
Kalyan,Maharashtra,Thane,derived_data_gov,19.19704,72.96355
Ulhasnagar,Maharashtra,Thane,derived_data_gov,19.19704,72.96355
Karanja,Maharashtra,Vashim,derived_data_gov,,
Manora,Maharashtra,Vashim,derived_data_gov,,
Pusad,Maharashtra,Yavatmal,derived_data_gov,20.39324,78.13201
Najafgarh,NCT of Delhi,Delhi,derived_data_gov,28.65195,77.23149
Kot ise Khan,Punjab,Moga,derived_data_gov,30.81383,75.16878
